,early_life_mean,late_life_mean,difference,percentage_change,t_statistic,p_value,significant
mean_speed,,,,,,,False
std_speed,,,,,,,False
max_speed,,,,,,,False
total_distance,,,,,,,False
time_paused,,,,,,,False
fraction_paused,,,,,,,False
mean_turning_angle,,,,,,,False
std_turning_angle,,,,,,,False
turning_frequency,,,,,,,False
mean_frenetic_score,,,,,,,False
max_frenetic_score,,,,,,,False
std_frenetic_score,,,,,,,False
pct_high_frenetic,,,,,,,False
mean_roaming_score,,,,,,,False
std_roaming_score,,,,,,,False
fraction_roaming,,,,,,,False
activity_level,,,,,,,False
high_activity_fraction,,,,,,,False
low_activity_fraction,,,,,,,False
movement_efficiency,,,,,,,False
speed_persistence,,,,,,,False
exploration_ratio,,,,,,,False
kinetic_energy_proxy,,,,,,,False
mean_jerk,,,,,,,False
max_jerk,,,,,,,False
