n_features,mean_auc,std_auc
1,0.4980343768375913,0.01454866161171762
3,0.5140936061881667,0.02702499873263133
5,0.5139551888090257,0.027324800266737868
7,0.5075834533713088,0.03651431190066096
9,0.5180210681020223,0.03569057185653823
11,0.5053953938643936,0.04719689194696472
13,0.49111602525924736,0.0524776148981981
15,0.48583047924615325,0.059051178960436365
17,0.4909281207125894,0.057775110187473194
19,0.49562689549276406,0.06324203315410164
21,0.49261998274906393,0.0561813794375099
23,0.49006136255698063,0.05882380573983327
25,0.48282390711032164,0.06182430693069448
27,0.4794309980510628,0.05700475216375558
29,0.4818618206473587,0.057585415912028794
31,0.4856263615473086,0.058347661228090354
33,0.48764084579716915,0.05904891932901867
35,0.4809214121159696,0.055261017427499365
37,0.4808864930988457,0.055898604139123634
39,0.4891327176927723,0.05947210691375032
41,0.48370553267243804,0.06135784467116489
43,0.48604275938223235,0.05863309684078422
45,0.4854878021575386,0.05117807852929141
47,0.4937397635818657,0.05058180075485385
49,0.47638843102703354,0.056631097086120144
